Sr.,TIN Number,Hardware Version,mac address,image metadata,ledCommands
71,EN0010000071,F52H,E8:E8:FF:E6:41:EA,EN0010000071 V2.1-080529 2.66 BWRY F52H,"[+]led,E8:E8:FF:E6:41:EA"
72,EN0010000072,F52H,EA:DE:69:82:AA:DF,EN0010000072 V2.1-080529 2.66 BWRY F52H,"[+]led,EA:DE:69:82:AA:DF"
73,EN0010000073,F52H,DA:B4:88:84:D6:72,EN0010000073 V2.1-080529 2.66 BWRY F52H,"[+]led,DA:B4:88:84:D6:72"
74,EN0010000074,F52H,CE:09:9D:E0:94:28,EN0010000074 V2.1-080529 2.66 BWRY F52H,"[+]led,CE:09:9D:E0:94:28"
75,EN0010000075,F52H,E6:D5:FE:4C:A0:A8,EN0010000075 V2.1-080529 2.66 BWRY F52H,"[+]led,E6:D5:FE:4C:A0:A8"
76,EN0010000076,F52H,E0:8A:FB:0A:67:F0,EN0010000076 V2.1-080529 2.66 BWRY F52H,"[+]led,E0:8A:FB:0A:67:F0"
77,EN0010000077,F52H,FD:17:BB:89:A6:35,EN0010000077 V2.1-080529 2.66 BWRY F52H,"[+]led,FD:17:BB:89:A6:35"
78,EN0010000078,F52H,CA:1A:E5:AE:05:93,EN0010000078 V2.1-080529 2.66 BWRY F52H,"[+]led,CA:1A:E5:AE:05:93"
79,EN0010000079,F52H,E0:E8:05:EA:14:DB,EN0010000079 V2.1-080529 2.66 BWRY F52H,"[+]led,E0:E8:05:EA:14:DB"
80,EN0010000080,F52H,CD:72:92:A1:57:95,EN0010000080 V2.1-080529 2.66 BWRY F52H,"[+]led,CD:72:92:A1:57:95"
81,EN0010000081,F52H,CA:80:EA:5D:93:D9,EN0010000081 V2.1-080529 2.66 BWRY F52H,"[+]led,CA:80:EA:5D:93:D9"
82,EN0010000082,F52H,C4:E6:68:82:2C:3C,EN0010000082 V2.1-080529 2.66 BWRY F52H,"[+]led,C4:E6:68:82:2C:3C"
83,EN0010000083,F52H,C1:B2:96:5B:51:C2,EN0010000083 V2.1-080529 2.66 BWRY F52H,"[+]led,C1:B2:96:5B:51:C2"
84,EN0010000084,F52H,D8:F7:DA:B4:B3:7F,EN0010000084 V2.1-080529 2.66 BWRY F52H,"[+]led,D8:F7:DA:B4:B3:7F"
85,EN0010000085,F52H,D8:F9:CF:C9:1B:22,EN0010000085 V2.1-080529 2.66 BWRY F52H,"[+]led,D8:F9:CF:C9:1B:22"
86,EN0010000086,F52H,F8:24:0D:70:8C:71,EN0010000086 V2.1-080529 2.66 BWRY F52H,"[+]led,F8:24:0D:70:8C:71"
87,EN0010000087,F52H,C8:AE:CC:80:2B:6A,EN0010000087 V2.1-080529 2.66 BWRY F52H,"[+]led,C8:AE:CC:80:2B:6A"
88,EN0010000088,F52H,CB:81:D5:18:23:78,EN0010000088 V2.1-080529 2.66 BWRY F52H,"[+]led,CB:81:D5:18:23:78"
89,EN0010000089,F52H,C1:05:26:9A:B3:5D,EN0010000089 V2.1-080529 2.66 BWRY F52H,"[+]led,C1:05:26:9A:B3:5D"
