Sr.,TIN Number,Hardware Version,mac address,image metadata,ledCommands
204,EN0010000204,F52H,F9:C4:F9:7B:BE:B0,EN0010000204 V2.1-080529 2.66 BWRY F52H,"[+]led,F9:C4:F9:7B:BE:B0"
205,EN0010000205,F52H,D3:75:A3:AE:C0:7D,EN0010000205 V2.1-080529 2.66 BWRY F52H,"[+]led,D3:75:A3:AE:C0:7D"
206,EN0010000206,F52H,C6:86:78:01:C3:2D,EN0010000206 V2.1-080529 2.66 BWRY F52H,"[+]led,C6:86:78:01:C3:2D"
207,EN0010000207,F52H,F5:34:E4:49:0A:C1,EN0010000207 V2.1-080529 2.66 BWRY F52H,"[+]led,F5:34:E4:49:0A:C1"
208,EN0010000208,F52H,CF:E4:EF:20:0A:31,EN0010000208 V2.1-080529 2.66 BWRY F52H,"[+]led,CF:E4:EF:20:0A:31"
209,EN0010000209,F52H,E8:B3:AB:E1:69:46,EN0010000209 V2.1-080529 2.66 BWRY F52H,"[+]led,E8:B3:AB:E1:69:46"
210,EN0010000210,F52H,E7:8D:47:1E:96:E7,EN0010000210 V2.1-080529 2.66 BWRY F52H,"[+]led,E7:8D:47:1E:96:E7"
211,EN0010000211,F52H,C1:01:C3:BF:FD:36,EN0010000211 V2.1-080529 2.66 BWRY F52H,"[+]led,C1:01:C3:BF:FD:36"
212,EN0010000212,F52H,C6:9A:33:FF:41:41,EN0010000212 V2.1-080529 2.66 BWRY F52H,"[+]led,C6:9A:33:FF:41:41"
213,EN0010000213,F52H,D2:DF:ED:08:37:39,EN0010000213 V2.1-080529 2.66 BWRY F52H,"[+]led,D2:DF:ED:08:37:39"
214,EN0010000214,F52H,C7:53:DF:73:1F:2E,EN0010000214 V2.1-080529 2.66 BWRY F52H,"[+]led,C7:53:DF:73:1F:2E"
215,EN0010000215,F52H,EB:6A:D2:4D:88:1F,EN0010000215 V2.1-080529 2.66 BWRY F52H,"[+]led,EB:6A:D2:4D:88:1F"
216,EN0010000216,F52H,D4:02:FF:FC:E3:EC,EN0010000216 V2.1-080529 2.66 BWRY F52H,"[+]led,D4:02:FF:FC:E3:EC"
217,EN0010000217,F52H,FA:D4:9C:2E:70:82,EN0010000217 V2.1-080529 2.66 BWRY F52H,"[+]led,FA:D4:9C:2E:70:82"
218,EN0010000218,F52H,D1:27:E8:DB:A3:0E,EN0010000218 V2.1-080529 2.66 BWRY F52H,"[+]led,D1:27:E8:DB:A3:0E"
219,EN0010000219,F52H,F8:79:18:7C:FB:86,EN0010000219 V2.1-080529 2.66 BWRY F52H,"[+]led,F8:79:18:7C:FB:86"
220,EN0010000220,F52H,F8:F9:91:B6:81:0C,EN0010000220 V2.1-080529 2.66 BWRY F52H,"[+]led,F8:F9:91:B6:81:0C"
221,EN0010000221,F52H,D4:0E:2E:1A:4A:EE,EN0010000221 V2.1-080529 2.66 BWRY F52H,"[+]led,D4:0E:2E:1A:4A:EE"
222,EN0010000222,F52H,C1:E6:F1:9F:C3:71,EN0010000222 V2.1-080529 2.66 BWRY F52H,"[+]led,C1:E6:F1:9F:C3:71"
223,EN0010000223,F52H,DB:62:A5:7E:C8:7A,EN0010000223 V2.1-080529 2.66 BWRY F52H,"[+]led,DB:62:A5:7E:C8:7A"
224,EN0010000224,F52H,FB:26:9B:A8:05:77,EN0010000224 V2.1-080529 2.66 BWRY F52H,"[+]led,FB:26:9B:A8:05:77"
225,EN0010000225,F52H,FC:6C:F1:E3:3D:EA,EN0010000225 V2.1-080529 2.66 BWRY F52H,"[+]led,FC:6C:F1:E3:3D:EA"
226,EN0010000226,F52H,FE:DC:5D:14:60:AB,EN0010000226 V2.1-080529 2.66 BWRY F52H,"[+]led,FE:DC:5D:14:60:AB"
227,EN0010000227,F52H,EC:7F:7B:2E:3E:76,EN0010000227 V2.1-080529 2.66 BWRY F52H,"[+]led,EC:7F:7B:2E:3E:76"
228,EN0010000228,F52H,C5:9C:91:B0:A2:AF,EN0010000228 V2.1-080529 2.66 BWRY F52H,"[+]led,C5:9C:91:B0:A2:AF"
229,EN0010000229,F52H,F5:05:CA:8E:FB:62,EN0010000229 V2.1-080529 2.66 BWRY F52H,"[+]led,F5:05:CA:8E:FB:62"
230,EN0010000230,F52H,CA:C5:E7:F7:5B:7A,EN0010000230 V2.1-080529 2.66 BWRY F52H,"[+]led,CA:C5:E7:F7:5B:7A"
231,EN0010000231,F52H,F6:9A:BA:4C:C8:D8,EN0010000231 V2.1-080529 2.66 BWRY F52H,"[+]led,F6:9A:BA:4C:C8:D8"
232,EN0010000232,F52H,C7:80:BA:0F:83:8E,EN0010000232 V2.1-080529 2.66 BWRY F52H,"[+]led,C7:80:BA:0F:83:8E"
233,EN0010000233,F52H,CD:A1:32:81:8E:86,EN0010000233 V2.1-080529 2.66 BWRY F52H,"[+]led,CD:A1:32:81:8E:86"
234,EN0010000234,F52H,E3:2A:97:CA:2B:F7,EN0010000234 V2.1-080529 2.66 BWRY F52H,"[+]led,E3:2A:97:CA:2B:F7"
235,EN0010000235,F52H,F6:F1:C9:42:CD:DF,EN0010000235 V2.1-080529 2.66 BWRY F52H,"[+]led,F6:F1:C9:42:CD:DF"
236,EN0010000236,F52H,D0:A5:CC:75:0D:E3,EN0010000236 V2.1-080529 2.66 BWRY F52H,"[+]led,D0:A5:CC:75:0D:E3"
237,EN0010000237,F52H,E9:ED:71:2D:AA:86,EN0010000237 V2.1-080529 2.66 BWRY F52H,"[+]led,E9:ED:71:2D:AA:86"
238,EN0010000238,F52H,F5:9D:FD:E6:BA:7D,EN0010000238 V2.1-080529 2.66 BWRY F52H,"[+]led,F5:9D:FD:E6:BA:7D"
239,EN0010000239,F52H,FD:17:FE:58:3F:CB,EN0010000239 V2.1-080529 2.66 BWRY F52H,"[+]led,FD:17:FE:58:3F:CB"
240,EN0010000240,F52H,FD:76:15:83:2F:1B,EN0010000240 V2.1-080529 2.66 BWRY F52H,"[+]led,FD:76:15:83:2F:1B"
241,EN0010000241,F52H,E4:CA:FD:0D:C5:FE,EN0010000241 V2.1-080529 2.66 BWRY F52H,"[+]led,E4:CA:FD:0D:C5:FE"
242,EN0010000242,F52H,F9:6F:C7:AB:F8:91,EN0010000242 V2.1-080529 2.66 BWRY F52H,"[+]led,F9:6F:C7:AB:F8:91"
243,EN0010000243,F52H,F4:02:B8:0C:0C:D2,EN0010000243 V2.1-080529 2.66 BWRY F52H,"[+]led,F4:02:B8:0C:0C:D2"
244,EN0010000244,F52H,F0:85:D9:47:21:6F,EN0010000244 V2.1-080529 2.66 BWRY F52H,"[+]led,F0:85:D9:47:21:6F"
245,EN0010000245,F52H,C5:12:AD:F9:4F:6F,EN0010000245 V2.1-080529 2.66 BWRY F52H,"[+]led,C5:12:AD:F9:4F:6F"
246,EN0010000246,F52H,F6:0C:1B:D1:CF:F5,EN0010000246 V2.1-080529 2.66 BWRY F52H,"[+]led,F6:0C:1B:D1:CF:F5"
247,EN0010000247,F52H,F4:AD:D5:49:D9:9E,EN0010000247 V2.1-080529 2.66 BWRY F52H,"[+]led,F4:AD:D5:49:D9:9E"
248,EN0010000248,F52H,FC:5A:D5:1B:EA:DA,EN0010000248 V2.1-080529 2.66 BWRY F52H,"[+]led,FC:5A:D5:1B:EA:DA"
249,EN0010000249,F52H,E9:EE:F2:98:23:5D,EN0010000249 V2.1-080529 2.66 BWRY F52H,"[+]led,E9:EE:F2:98:23:5D"
250,EN0010000250,F52H,CB:EE:8D:91:9E:63,EN0010000250 V2.1-080529 2.66 BWRY F52H,"[+]led,CB:EE:8D:91:9E:63"
251,EN0010000251,F52H,DB:64:E9:CA:E5:B3,EN0010000251 V2.1-080529 2.66 BWRY F52H,"[+]led,DB:64:E9:CA:E5:B3"
252,EN0010000252,F52H,FB:74:FC:BF:48:0E,EN0010000252 V2.1-080529 2.66 BWRY F52H,"[+]led,FB:74:FC:BF:48:0E"
253,EN0010000253,F52H,F7:BE:78:F1:CA:9C,EN0010000253 V2.1-080529 2.66 BWRY F52H,"[+]led,F7:BE:78:F1:CA:9C"
254,EN0010000254,F52H,F4:90:79:D4:52:A1,EN0010000254 V2.1-080529 2.66 BWRY F52H,"[+]led,F4:90:79:D4:52:A1"
255,EN0010000255,F52H,C0:E2:F7:DB:C6:9A,EN0010000255 V2.1-080529 2.66 BWRY F52H,"[+]led,C0:E2:F7:DB:C6:9A"
256,EN0010000256,F52H,E9:C9:7E:73:8C:43,EN0010000256 V2.1-080529 2.66 BWRY F52H,"[+]led,E9:C9:7E:73:8C:43"
257,EN0010000257,F52H,E7:48:36:C4:88:82,EN0010000257 V2.1-080529 2.66 BWRY F52H,"[+]led,E7:48:36:C4:88:82"
258,EN0010000258,F52H,C7:8D:19:8D:8B:6A,EN0010000258 V2.1-080529 2.66 BWRY F52H,"[+]led,C7:8D:19:8D:8B:6A"
259,EN0010000259,F52H,D8:FD:18:3F:A6:DB,EN0010000259 V2.1-080529 2.66 BWRY F52H,"[+]led,D8:FD:18:3F:A6:DB"
260,EN0010000260,F52H,F5:0E:04:E9:65:47,EN0010000260 V2.1-080529 2.66 BWRY F52H,"[+]led,F5:0E:04:E9:65:47"
261,EN0010000261,F52H,DF:FB:EA:D8:70:D5,EN0010000261 V2.1-080529 2.66 BWRY F52H,"[+]led,DF:FB:EA:D8:70:D5"
262,EN0010000262,F52H,D8:FD:D0:B4:9F:93,EN0010000262 V2.1-080529 2.66 BWRY F52H,"[+]led,D8:FD:D0:B4:9F:93"
263,EN0010000263,F52H,C4:42:7B:B8:77:AE,EN0010000263 V2.1-080529 2.66 BWRY F52H,"[+]led,C4:42:7B:B8:77:AE"
264,EN0010000264,F52H,C1:A5:4B:80:23:25,EN0010000264 V2.1-080529 2.66 BWRY F52H,"[+]led,C1:A5:4B:80:23:25"
265,EN0010000265,F52H,DC:EA:FE:1E:B3:3F,EN0010000265 V2.1-080529 2.66 BWRY F52H,"[+]led,DC:EA:FE:1E:B3:3F"
266,EN0010000266,F52H,D4:61:EF:27:94:F7,EN0010000266 V2.1-080529 2.66 BWRY F52H,"[+]led,D4:61:EF:27:94:F7"
267,EN0010000267,F52H,EA:DF:59:D5:FA:47,EN0010000267 V2.1-080529 2.66 BWRY F52H,"[+]led,EA:DF:59:D5:FA:47"
268,EN0010000268,F52H,CE:2C:42:51:C4:67,EN0010000268 V2.1-080529 2.66 BWRY F52H,"[+]led,CE:2C:42:51:C4:67"
269,EN0010000269,F52H,F4:5A:B3:64:25:B2,EN0010000269 V2.1-080529 2.66 BWRY F52H,"[+]led,F4:5A:B3:64:25:B2"
270,EN0010000270,F52H,DA:6B:DF:48:12:EC,EN0010000270 V2.1-080529 2.66 BWRY F52H,"[+]led,DA:6B:DF:48:12:EC"
271,EN0010000271,F52H,CD:A2:D5:D8:56:BA,EN0010000271 V2.1-080529 2.66 BWRY F52H,"[+]led,CD:A2:D5:D8:56:BA"
272,EN0010000272,F52H,D5:E0:D5:73:E5:0E,EN0010000272 V2.1-080529 2.66 BWRY F52H,"[+]led,D5:E0:D5:73:E5:0E"
273,EN0010000273,F52H,E6:F4:E9:41:50:61,EN0010000273 V2.1-080529 2.66 BWRY F52H,"[+]led,E6:F4:E9:41:50:61"
274,EN0010000274,F52H,C3:83:41:58:15:6E,EN0010000274 V2.1-080529 2.66 BWRY F52H,"[+]led,C3:83:41:58:15:6E"
275,EN0010000275,F52H,FD:97:B5:87:A6:CD,EN0010000275 V2.1-080529 2.66 BWRY F52H,"[+]led,FD:97:B5:87:A6:CD"
276,EN0010000276,F52H,EE:56:13:2E:11:FE,EN0010000276 V2.1-080529 2.66 BWRY F52H,"[+]led,EE:56:13:2E:11:FE"
277,EN0010000277,F52H,E4:38:F3:B8:B5:D6,EN0010000277 V2.1-080529 2.66 BWRY F52H,"[+]led,E4:38:F3:B8:B5:D6"
278,EN0010000278,F52H,EA:C3:9F:E7:2E:D1,EN0010000278 V2.1-080529 2.66 BWRY F52H,"[+]led,EA:C3:9F:E7:2E:D1"
279,EN0010000279,F52H,F4:AB:47:FC:3B:BC,EN0010000279 V2.1-080529 2.66 BWRY F52H,"[+]led,F4:AB:47:FC:3B:BC"
280,EN0010000280,F52H,FE:CB:F1:22:09:4A,EN0010000280 V2.1-080529 2.66 BWRY F52H,"[+]led,FE:CB:F1:22:09:4A"
281,EN0010000281,F52H,F5:7C:77:F2:63:48,EN0010000281 V2.1-080529 2.66 BWRY F52H,"[+]led,F5:7C:77:F2:63:48"
282,EN0010000282,F52H,C6:81:F5:5B:62:AB,EN0010000282 V2.1-080529 2.66 BWRY F52H,"[+]led,C6:81:F5:5B:62:AB"
283,EN0010000283,F52H,FA:CF:FE:1E:33:2D,EN0010000283 V2.1-080529 2.66 BWRY F52H,"[+]led,FA:CF:FE:1E:33:2D"
284,EN0010000284,F52H,DD:CB:9E:66:53:9F,EN0010000284 V2.1-080529 2.66 BWRY F52H,"[+]led,DD:CB:9E:66:53:9F"
285,EN0010000285,F52H,F4:F9:F5:0A:2B:2D,EN0010000285 V2.1-080529 2.66 BWRY F52H,"[+]led,F4:F9:F5:0A:2B:2D"
286,EN0010000286,F52H,E4:8A:23:0A:9E:B4,EN0010000286 V2.1-080529 2.66 BWRY F52H,"[+]led,E4:8A:23:0A:9E:B4"
287,EN0010000287,F52H,F8:A4:8C:FB:17:A2,EN0010000287 V2.1-080529 2.66 BWRY F52H,"[+]led,F8:A4:8C:FB:17:A2"
288,EN0010000288,F52H,DF:5F:25:75:77:57,EN0010000288 V2.1-080529 2.66 BWRY F52H,"[+]led,DF:5F:25:75:77:57"
289,EN0010000289,F52H,D4:39:4F:C4:68:FE,EN0010000289 V2.1-080529 2.66 BWRY F52H,"[+]led,D4:39:4F:C4:68:FE"
290,EN0010000290,F52H,CA:EF:BF:4F:CC:78,EN0010000290 V2.1-080529 2.66 BWRY F52H,"[+]led,CA:EF:BF:4F:CC:78"
291,EN0010000291,F52H,DB:1C:FD:A5:F3:09,EN0010000291 V2.1-080529 2.66 BWRY F52H,"[+]led,DB:1C:FD:A5:F3:09"
292,EN0010000292,F52H,F0:64:EC:3F:69:69,EN0010000292 V2.1-080529 2.66 BWRY F52H,"[+]led,F0:64:EC:3F:69:69"
293,EN0010000293,F52H,D9:2A:93:2C:1A:04,EN0010000293 V2.1-080529 2.66 BWRY F52H,"[+]led,D9:2A:93:2C:1A:04"
294,EN0010000294,F52H,D2:2B:E6:50:FB:7E,EN0010000294 V2.1-080529 2.66 BWRY F52H,"[+]led,D2:2B:E6:50:FB:7E"
295,EN0010000295,F52H,C4:DF:F5:26:9D:CC,EN0010000295 V2.1-080529 2.66 BWRY F52H,"[+]led,C4:DF:F5:26:9D:CC"
296,EN0010000296,F52H,EC:58:F5:E9:03:BC,EN0010000296 V2.1-080529 2.66 BWRY F52H,"[+]led,EC:58:F5:E9:03:BC"
297,EN0010000297,F52H,F3:8B:CF:A6:3A:80,EN0010000297 V2.1-080529 2.66 BWRY F52H,"[+]led,F3:8B:CF:A6:3A:80"
298,EN0010000298,F52H,E2:28:25:0E:D6:55,EN0010000298 V2.1-080529 2.66 BWRY F52H,"[+]led,E2:28:25:0E:D6:55"
299,EN0010000299,F52H,C9:F7:E3:A3:7C:E6,EN0010000299 V2.1-080529 2.66 BWRY F52H,"[+]led,C9:F7:E3:A3:7C:E6"
300,EN0010000300,F52H,E1:EC:F4:F0:EF:D6,EN0010000300 V2.1-080529 2.66 BWRY F52H,"[+]led,E1:EC:F4:F0:EF:D6"
301,EN0010000301,F52H,EA:A8:FF:5E:A8:95,EN0010000301 V2.1-080529 2.66 BWRY F52H,"[+]led,EA:A8:FF:5E:A8:95"
302,EN0010000302,F52H,CF:DF:94:BF:0E:6C,EN0010000302 V2.1-080529 2.66 BWRY F52H,"[+]led,CF:DF:94:BF:0E:6C"
303,EN0010000303,F52H,DA:7E:50:38:25:EC,EN0010000303 V2.1-080529 2.66 BWRY F52H,"[+]led,DA:7E:50:38:25:EC"
304,EN0010000304,F52H,F2:EB:F7:0F:FB:86,EN0010000304 V2.1-080529 2.66 BWRY F52H,"[+]led,F2:EB:F7:0F:FB:86"
305,EN0010000305,F52H,D3:13:05:36:CA:1F,EN0010000305 V2.1-080529 2.66 BWRY F52H,"[+]led,D3:13:05:36:CA:1F"
306,EN0010000306,F52H,D6:F3:F1:9C:CB:CB,EN0010000306 V2.1-080529 2.66 BWRY F52H,"[+]led,D6:F3:F1:9C:CB:CB"
307,EN0010000307,F52H,F2:66:7C:B7:4F:EC,EN0010000307 V2.1-080529 2.66 BWRY F52H,"[+]led,F2:66:7C:B7:4F:EC"
308,EN0010000308,F52H,F4:AF:46:F1:A3:DC,EN0010000308 V2.1-080529 2.66 BWRY F52H,"[+]led,F4:AF:46:F1:A3:DC"
309,EN0010000309,F52H,F3:7E:EF:73:EB:39,EN0010000309 V2.1-080529 2.66 BWRY F52H,"[+]led,F3:7E:EF:73:EB:39"
310,EN0010000310,F52H,C7:51:9E:27:A0:0D,EN0010000310 V2.1-080529 2.66 BWRY F52H,"[+]led,C7:51:9E:27:A0:0D"
311,EN0010000311,F52H,FC:D2:E4:58:D7:1F,EN0010000311 V2.1-080529 2.66 BWRY F52H,"[+]led,FC:D2:E4:58:D7:1F"
312,EN0010000312,F52H,FD:A0:F9:65:D0:72,EN0010000312 V2.1-080529 2.66 BWRY F52H,"[+]led,FD:A0:F9:65:D0:72"
313,EN0010000313,F52H,F5:EE:FA:8C:E4:37,EN0010000313 V2.1-080529 2.66 BWRY F52H,"[+]led,F5:EE:FA:8C:E4:37"
314,EN0010000314,F52H,C2:B8:08:65:93:3B,EN0010000314 V2.1-080529 2.66 BWRY F52H,"[+]led,C2:B8:08:65:93:3B"
315,EN0010000315,F52H,F6:20:DC:A4:39:48,EN0010000315 V2.1-080529 2.66 BWRY F52H,"[+]led,F6:20:DC:A4:39:48"
